          ;        2144;   ;Filtro    ;Inicio                                  ;28042016      ;121501;::1            ;OK ;                    ;Inicio de filtrado                                                      
          ;        2144;   ;Filtro    ;tbk_param.txt                           ;28042016      ;121501;::1            ;OK ;                    ;Archivo parseado                                                        
          ;        2144;   ;Filtro    ;Terminado                               ;28042016      ;121501;::1            ;OK ;                    ;Datos Filtrados con exito                                               
185650182 ;        2144;   ;pago      ;inicio                                  ;28042016      ;121501;::1            ;OK ;597026007976        ;Parseo realizado                                                        
185650182 ;        2144;   ;pago      ;https://certificacion.webpay.cl         ;28042016      ;121501;::1            ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
185650182 ;        2144;   ;pago      ;https://certificacion.webpay.cl         ;28042016      ;121501;::1            ;OK ;597026007976        ;Mac generado                                                            
185650182 ;        2144;   ;pago      ;https://certificacion.webpay.cl         ;28042016      ;121501;::1            ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
185650182 ;        2144;   ;pago      ;https://certificacion.webpay.cl         ;28042016      ;121501;::1            ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
185650182 ;        2144;   ;pago      ;https://certificacion.webpay.cl         ;28042016      ;121501;::1            ;OK ;597026007976        ;Datos listos para ser enviados                                          
185650182 ;        2144;   ;pago      ;https://certificacion.webpay.cl         ;28042016      ;121501;::1            ;OK ;597026007976        ;Medio 2: Por redireccion                                                
185650182 ;        2144;   ;pago      ;https://certificacion.webpay.cl         ;28042016      ;121501;::1            ;OK ;597026007976        ;Redireccion web                                                         
185650182 ;        2144;   ;pago      ;https://certificacion.webpay.cl         ;28042016      ;121501;::1            ;OK ;597026007976        ;Todo OK                                                                 
          ;        9704;   ;resultado ;Desencriptando                          ;28042016      ;121523;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        9704;   ;resultado ;Validacion                              ;28042016      ;121523;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        9704;   ;resultado ;284201612151223                         ;28042016      ;121523;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;        9704;   ;resultado ;284201612151223                         ;28042016      ;121523;200.10.12.55   ;OK ;                    ;http://200.90.190.218:5555/Home/XtCompra                                
185650182 ;        9704;   ;transacc  ;185650182                               ;28042016      ;121523;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(5555)                                            
185650182 ;        9704;   ;resultado ;logro abrir_conexion                    ;28042016      ;121523;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
185650182 ;        9704;   ;transacc  ;185650182                               ;28042016      ;121523;200.10.12.55   ;OK ;597026007976        ;POST a url http://200.90.190.218:5555/Home/XtCompra                     
185650182 ;        9704;   ;transacc  ;185650182                               ;28042016      ;121523;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;        4324;   ;check_mac ;                                        ;28042016      ;122420;EMPTY          ;OK ;                    ;Todo OK                                                                 
          ;        7800;   ;check_mac ;                                        ;28042016      ;122535;EMPTY          ;OK ;                    ;Todo OK                                                                 
          ;        5004;   ;check_mac ;                                        ;28042016      ;122624;EMPTY          ;OK ;                    ;Todo OK                                                                 
          ;        5524;   ;check_mac ;                                        ;28042016      ;122748;EMPTY          ;OK ;                    ;Todo OK                                                                 
